Vending Machine Name,Product,Qty Sold,Sales
SEKOLAH FAJAR,SPRITE BOTOL 390ML,4,IDR 32000.00
SEKOLAH FAJAR,Pulpy Orange 300ML,1,IDR 6000.00
SEKOLAH FAJAR,POKKA LYCHEE TEA,2,IDR 18000.00
SEKOLAH FAJAR,POKKA LEMON TEA,5,IDR 46000.00
SEKOLAH FAJAR,Nescafe Latte 240 ML,6,IDR 75000.00
SEKOLAH FAJAR,Go potato cheese,7,IDR 63000.00
SEKOLAH FAJAR,MILKU STRAWBERRY,4,IDR 20000.00
SEKOLAH FAJAR,ABC Sari Kacang Hijau 250ML,2,IDR 12000.00
SEKOLAH FAJAR,CIMORY STRAWBERY 250ML,5,IDR 50000.00
SEKOLAH FAJAR,INACO IM COCO LECI,7,IDR 77000.00
SEKOLAH FAJAR,POTABEE RUMPUT LAUT,2,IDR 12000.00
SEKOLAH FAJAR,DEKA Crepes choco banana,1,IDR 15000.00
SEKOLAH FAJAR,CIMORY MARIE REGAL,4,IDR 40000.00
SEKOLAH FAJAR,Kopiko Lucky Day 180 ML,2,IDR 16000.00
SEKOLAH FAJAR,NESCAFE ICE BLACK,6,IDR 75000.00
SEKOLAH FAJAR,LARUTAN CAP KAKI TIGA LECI,6,IDR 48000.00
SEKOLAH FAJAR,YOU C1000 orange water 500ML,6,IDR 64000.00
SEKOLAH FAJAR,Hydro Coco 250ML,8,IDR 80000.00
SEKOLAH FAJAR,LARUTAN CAP KAKI TIGA JAMBU BIJI,1,IDR 10000.00
SEKOLAH FAJAR,yoritos,1,IDR 6000.00
SEKOLAH FAJAR,AW 250ML,4,IDR 40000.00
SEKOLAH FAJAR,iyes mix,2,IDR 12000.00
SEKOLAH FAJAR,KUSUKA TOPPING BALADO,1,IDR 14000.00
SEKOLAH FAJAR,Lasegar leci lemon,2,IDR 20000.00
SEKOLAH FAJAR,KUSUKA AYAM MADU,1,IDR 6000.00
SEKOLAH FAJAR,WALENS BLUEBERRY SOES,1,IDR 15000.00
SEKOLAH FAJAR,TWISTKO,1,IDR 10000.00
SEKOLAH FAJAR,Teh Pucuk 350ML,8,IDR 54500.00
SEKOLAH FAJAR,EGG ROLL CHEESE,1,IDR 7000.00
SEKOLAH FAJAR,KRIZZI COKLAT,1,IDR 8000.00
SEKOLAH FAJAR,caffino,1,IDR 8000.00
SEKOLAH FAJAR,Le Mineral 600ML,20,IDR 136500.00
SEKOLAH FAJAR,Spix mi goreng,1,IDR 6000.00
SEKOLAH FAJAR,MILO CALSIUM KALENG 240 ML,5,IDR 75000.00
SEKOLAH FAJAR,POCARI SWEAT 350ML,1,IDR 10000.00
SEKOLAH FAJAR,french fries 2000,2,IDR 14000.00
SEKOLAH FAJAR,MONDE PIE MINI,1,IDR 10000.00
