Product,Qty Sold,Sales
POCARI SWEAT 350ML,1,IDR 9000.00
Hydro Coco 250ML,1,IDR 10000.00
POKKA LYCHEE TEA,2,IDR 18000.00
AW 330ML,1,IDR 8000.00
Nescafe CappuccIno 240 ML,2,IDR 24000.00
Nescafe Latte 240 ML,1,IDR 12000.00
KUSUKA AYAM MADU,3,IDR 15000.00
cimory banana,1,IDR 8000.00
WALENS BLUEBERRY SOES,1,IDR 15000.00
KRIZZI COKLAT,1,IDR 8000.00
YOU C1000 orange water 500ML,2,IDR 20000.00
PANDA CINCAU JELLY,1,IDR 10000.00
SUKRO OVEN 25 GRAM,1,IDR 6000.00
Teh Pucuk 350ML,1,IDR 7000.00
LARUTAN CAP KAKI TIGA LECI,2,IDR 20000.00
INACO IM COCO LECI,1,IDR 10000.00
MIE SEDAP CUP RAWIT BINGIT,1,IDR 10000.00
