Vending Machine Name,Product,Qty Sold,Sales
SMART HAPPY KIDS,potato q rasa sosis meksiko,4,IDR 20000.00
SMART HAPPY KIDS,french fries 2000,19,IDR 128000.00
SMART HAPPY KIDS,POTATO CHIP  50G,17,IDR 326000.00
SMART HAPPY KIDS,Hydro Coco 250ML,11,IDR 110000.00
SMART HAPPY KIDS,WALENS BLUEBERRY SOES,7,IDR 105000.00
SMART HAPPY KIDS,Lasegar leci lemon,5,IDR 50000.00
SMART HAPPY KIDS,TEH SEJUK,4,IDR 24000.00
SMART HAPPY KIDS,Beng Beng Maxx,22,IDR 146000.00
SMART HAPPY KIDS,INACO MINI PUDDING,11,IDR 61000.00
SMART HAPPY KIDS,POCARI SWEAT 350ML,8,IDR 78000.00
SMART HAPPY KIDS,AQUA 600ml,9,IDR 63000.00
SMART HAPPY KIDS,Piattos 35GRAM,3,IDR 21000.00
SMART HAPPY KIDS,POKKA LYCHEE TEA,13,IDR 117000.00
SMART HAPPY KIDS,CIMORY STRAWBERY 250ML,12,IDR 118000.00
SMART HAPPY KIDS,LARUTAN CAP KAKI TIGA LECI,6,IDR 60000.00
SMART HAPPY KIDS,GO POTATO,4,IDR 32000.00
SMART HAPPY KIDS,MILO ORIGINAL 220ML,19,IDR 228000.00
SMART HAPPY KIDS,MILKU STRAWBERRY,5,IDR 25000.00
SMART HAPPY KIDS,bro tatoz rendang sapi,6,IDR 42000.00
SMART HAPPY KIDS,SUKRO OVEN 25 GRAM,4,IDR 20000.00
SMART HAPPY KIDS,Kacang Mayasi,6,IDR 30000.00
SMART HAPPY KIDS,CIMORY COKLAT 250ML,13,IDR 138000.00
SMART HAPPY KIDS,MILKU COKLAT 200ML,2,IDR 10000.00
SMART HAPPY KIDS,KRIZZI,3,IDR 24000.00
SMART HAPPY KIDS,YOU C1000 orange water 500ML,6,IDR 74000.00
SMART HAPPY KIDS,CIMORY MARIE REGAL,3,IDR 30000.00
SMART HAPPY KIDS,mayasi paw,4,IDR 24000.00
SMART HAPPY KIDS,INACO MINI JELLY AND PUDDING,12,IDR 108000.00
SMART HAPPY KIDS,Spix mi goreng,14,IDR 86000.00
SMART HAPPY KIDS,Le Mineral 600ML,23,IDR 152000.00
SMART HAPPY KIDS,WALLENS CHOCOSHOES,7,IDR 105000.00
SMART HAPPY KIDS,OATSIDE COKLAT,3,IDR 36000.00
SMART HAPPY KIDS,Kopiko Lucky Day 180 ML,3,IDR 27000.00
SMART HAPPY KIDS,EGG ROLL STRAWBERRY,4,IDR 28000.00
