Vending Machine Name,Product,Qty Sold,Sales
SMK TELKOM,Le Mineral 600ML,88,IDR 569000.00
SMK TELKOM,Nescafe Latte 240 ML,18,IDR 216000.00
SMK TELKOM,LARUTAN CAP KAKI TIGA LECI,13,IDR 126000.00
SMK TELKOM,fire crackers sambal mangga,9,IDR 45000.00
SMK TELKOM,JAPOTA SEAWEED,2,IDR 18000.00
SMK TELKOM,SUKRO OVEN 25 GRAM,12,IDR 60000.00
SMK TELKOM,CIMORY STRAWBERY 250ML,6,IDR 60000.00
SMK TELKOM,POTATO CHIP  50G,3,IDR 54000.00
SMK TELKOM,KUSUKA AYAM MADU,9,IDR 53000.00
SMK TELKOM,CIMORY MATCHA,14,IDR 140000.00
SMK TELKOM,INACO MINI PUDDING,14,IDR 75000.00
SMK TELKOM,Beng Beng Maxx,17,IDR 114000.00
SMK TELKOM,TEH SEJUK,10,IDR 60000.00
SMK TELKOM,lasegar jeruk,5,IDR 48000.00
SMK TELKOM,FANTA KALENG 330ML,7,IDR 70000.00
SMK TELKOM,EGG ROLL CHEESE,1,IDR 7000.00
SMK TELKOM,potato q rasa sosis meksiko,1,IDR 5000.00
SMK TELKOM,yoritos,5,IDR 30000.00
SMK TELKOM,CIMORY ALMOND,6,IDR 60000.00
SMK TELKOM,Teh Pucuk 350ML,19,IDR 126000.00
SMK TELKOM,Nescafe CappuccIno 240 ML,6,IDR 84000.00
SMK TELKOM,Hydro Coco 250ML,8,IDR 88000.00
SMK TELKOM,CIMORY MARIE REGAL,12,IDR 120000.00
SMK TELKOM,CIMORY COKLAT 250ML,7,IDR 70000.00
SMK TELKOM,POKKA LEMON TEA,8,IDR 72000.00
SMK TELKOM,MILKU COKLAT 200ML,6,IDR 32000.00
SMK TELKOM,POCARI SWEAT 350ML,13,IDR 130000.00
SMK TELKOM,NESCAFE ICE BLACK,8,IDR 98000.00
SMK TELKOM,bro tatoz rasa rumput laut,4,IDR 28000.00
SMK TELKOM,Panda Grass Jely dan Selasih 350ML,3,IDR 27000.00
SMK TELKOM,POKKA LYCHEE TEA,12,IDR 108000.00
SMK TELKOM,MONDE EGG ROLL CHOCOLATE,10,IDR 51000.00
SMK TELKOM,french fries 2000,7,IDR 41000.00
SMK TELKOM,MILKU STRAWBERRY,6,IDR 30000.00
SMK TELKOM,Tik Tak Sapi Panggang 90 GRAM,7,IDR 63000.00
SMK TELKOM,TWISTKO,11,IDR 110000.00
SMK TELKOM,mayasi paw,9,IDR 54000.00
SMK TELKOM,Spix mi goreng,3,IDR 18000.00
SMK TELKOM,CROISANT 60 GRAM,25,IDR 225000.00
SMK TELKOM,AW 250ML,12,IDR 120000.00
SMK TELKOM,POTAKREZ sapi panggang,3,IDR 15000.00
SMK TELKOM,PANDA CINCAU JELLY,2,IDR 20000.00
SMK TELKOM,MONDE SERENA SNACK 25 GRAM,4,IDR 24000.00
SMK TELKOM,MILO ORIGINAL 220ML,4,IDR 60000.00
SMK TELKOM,Delfi Big Thunder,5,IDR 30000.00
SMK TELKOM,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
