Vending Machine Name,Product,Qty Sold,Sales
ST REGIST 1,POCARI SWEAT 350ML,39,IDR 351000.00
ST REGIST 1,KRIZZI COKLAT,3,IDR 21000.00
ST REGIST 1,AQUA 600ml,13,IDR 78000.00
ST REGIST 1,CIMORY MATCHA,25,IDR 244000.00
ST REGIST 1,SPRITE KALENG 250ML,5,IDR 40000.00
ST REGIST 1,Pulpy Orange 300ML,4,IDR 24000.00
ST REGIST 1,Hydro Coco 250ML,35,IDR 350000.00
ST REGIST 1,MILO ORIGINAL 220ML,32,IDR 480000.00
ST REGIST 1,LARUTAN CAP KAKI TIGA LECI,4,IDR 36000.00
ST REGIST 1,Tik Tak Original 90 GRAM,12,IDR 96000.00
ST REGIST 1,NESCAFE ICE BLACK,20,IDR 254000.00
ST REGIST 1,Coca cola kaleng 250ml,2,IDR 16000.00
ST REGIST 1,INACO IM COCO LECI,3,IDR 30000.00
ST REGIST 1,CROISANT 60 GRAM,8,IDR 71000.00
ST REGIST 1,Kacang Mayasi,13,IDR 65000.00
ST REGIST 1,YOU C1000 orange water 500ML,32,IDR 396000.00
ST REGIST 1,LASEGAR LEMON,4,IDR 40000.00
ST REGIST 1,potato q rasa sosis meksiko,4,IDR 24000.00
ST REGIST 1,Kopiko Lucky Day 180 ML,29,IDR 284000.00
ST REGIST 1,MILKU COKLAT 200ML,6,IDR 30000.00
ST REGIST 1,Go potato cheese,19,IDR 171000.00
ST REGIST 1,SUKRO OVEN 25 GRAM,17,IDR 92000.00
ST REGIST 1,KUSUKA AYAM MADU,7,IDR 39000.00
ST REGIST 1,Piattos rasa sapi panggang,3,IDR 27000.00
ST REGIST 1,Lasegar leci lemon,1,IDR 9000.00
ST REGIST 1,TEH SEJUK,13,IDR 78000.00
ST REGIST 1,yoritos,4,IDR 24000.00
ST REGIST 1,Tic tic rasa bawang asli,4,IDR 32000.00
ST REGIST 1,FANTA KALENG 250ML,1,IDR 7000.00
ST REGIST 1,AW 250ML,3,IDR 30000.00
ST REGIST 1,Tik Tak Sapi Panggang 90 GRAM,2,IDR 20000.00
ST REGIST 1,Le Mineral 600ML,68,IDR 446000.00
ST REGIST 1,POKKA LYCHEE TEA,15,IDR 150000.00
ST REGIST 1,INACO COCO MELON,10,IDR 120000.00
ST REGIST 1,WALLENS CHOCOSHOES,5,IDR 65000.00
ST REGIST 1,Nescafe CappuccIno 240 ML,14,IDR 168000.00
ST REGIST 1,Teh Pucuk 350ML,28,IDR 186500.00
ST REGIST 1,Spix mi goreng,18,IDR 110000.00
ST REGIST 1,MONDE SERENA SNACK 25 GRAM,13,IDR 78000.00
ST REGIST 1,fire crackers sambal mangga,2,IDR 10000.00
ST REGIST 1,mayasi paw,4,IDR 24000.00
ST REGIST 1,Nescafe Latte 240 ML,16,IDR 208000.00
ST REGIST 1,potato q rasa rumput laut,4,IDR 21000.00
ST REGIST 1,bro tatoz bbq korea,2,IDR 14000.00
ST REGIST 1,POTAKREZ sapi panggang,1,IDR 5000.00
ST REGIST 1,CIMORY COKLAT 250ML,7,IDR 77000.00
ST REGIST 1,TWISTKO,1,IDR 10000.00
ST REGIST 1,silverqueen bites 30 g,4,IDR 80000.00
ST REGIST 1,kinder bueno 43 g,3,IDR 60000.00
ST REGIST 1,POKKA LEMON TEA,4,IDR 40000.00
ST REGIST 1,Astor Double Coklat Kecil 40 GRAM,5,IDR 50000.00
ST REGIST 1,PRINGLESS SOUR ONION 42 GRAM,1,IDR 20000.00
ST REGIST 1,french fries 2000,1,IDR 6000.00
ST REGIST 1,milo nuggets 25 g,3,IDR 60000.00
ST REGIST 1,POTATO CHIP  50G,1,IDR 20000.00
