Vending Machine Name,Product,Qty Sold,Sales
UNIPREP BSD 1,Teh Pucuk 350ML,4,IDR 23000.00
UNIPREP BSD 1,POCARI SWEAT KALENG/CAN 330ML,1,IDR 9000.00
UNIPREP BSD 1,Tik Tak Sapi Panggang 90 GRAM,1,IDR 9000.00
UNIPREP BSD 1,Panda Grass Jely dan Selasih 350ML,1,IDR 9000.00
UNIPREP BSD 1,QTELA TEMPE CABAI RAWIT,2,IDR 22000.00
UNIPREP BSD 1,AQUA 600ml,1,IDR 7000.00
UNIPREP BSD 1,Nescafe Latte 240 ML,2,IDR 26000.00
UNIPREP BSD 1,CIMORY COKLAT 250ML,5,IDR 45000.00
UNIPREP BSD 1,TEH SEJUK,1,IDR 6000.00
UNIPREP BSD 1,CIMORY ALMOND,2,IDR 20000.00
UNIPREP BSD 1,fire crackers sambal mangga,4,IDR 20000.00
UNIPREP BSD 1,KRIZZI COKLAT,3,IDR 27000.00
UNIPREP BSD 1,Beng Beng Maxx,5,IDR 33000.00
UNIPREP BSD 1,KUSUKA AYAM MADU,3,IDR 16000.00
UNIPREP BSD 1,bro tatoz rasa rumput laut,5,IDR 35000.00
UNIPREP BSD 1,POTAKREZ sapi panggang,3,IDR 15000.00
UNIPREP BSD 1,POTATO CHIP  50G,3,IDR 57000.00
UNIPREP BSD 1,mayasi paw,2,IDR 12000.00
UNIPREP BSD 1,MONDE EGG ROLL CHOCOLATE,3,IDR 21000.00
UNIPREP BSD 1,MILO ORIGINAL 220ML,6,IDR 84000.00
UNIPREP BSD 1,LARUTAN CAP KAKI TIGA LECI,1,IDR 9000.00
UNIPREP BSD 1,Le Mineral 600ML,9,IDR 53000.00
UNIPREP BSD 1,SUKRO OVEN 25 GRAM,1,IDR 5000.00
UNIPREP BSD 1,MILKU STRAWBERRY,2,IDR 11000.00
UNIPREP BSD 1,POKKA LEMON TEA,3,IDR 27000.00
UNIPREP BSD 1,MILKU COKLAT 200ML,4,IDR 20000.00
UNIPREP BSD 1,CIMORY MARIE REGAL,1,IDR 10000.00
UNIPREP BSD 1,Kopiko Lucky Day 180 ML,2,IDR 20000.00
UNIPREP BSD 1,CIMORY MATCHA,1,IDR 10000.00
UNIPREP BSD 1,POCARI SWEAT 350ML,1,IDR 10000.00
UNIPREP BSD 1,WALENS BLUEBERRY SOES,1,IDR 15000.00
UNIPREP BSD 1,YOUVIT KAFE G,1,IDR 25000.00
UNIPREP BSD 1,YOU C1000 orange water 500ML,1,IDR 12000.00
UNIPREP BSD 1,PANDA CINCAU JELLY,1,IDR 10000.00
