Vending Machine Name,Product,Qty Sold,Sales
UNIPREP KELAPA GADING,Go potato cheese,3,IDR 27000.00
UNIPREP KELAPA GADING,TWISTKO,7,IDR 64000.00
UNIPREP KELAPA GADING,french fries 2000,6,IDR 39000.00
UNIPREP KELAPA GADING,GEMEZ CHILY SPICY 30GRAM,1,IDR 4000.00
UNIPREP KELAPA GADING,Kacang Mayasi,3,IDR 15000.00
UNIPREP KELAPA GADING,KUSUKA AYAM MADU,5,IDR 29000.00
UNIPREP KELAPA GADING,Lasegar leci lemon,6,IDR 56000.00
UNIPREP KELAPA GADING,CIMORY MARIE REGAL,3,IDR 26000.00
UNIPREP KELAPA GADING,WALENS BLUEBERRY SOES,3,IDR 45000.00
UNIPREP KELAPA GADING,Nescafe CappuccIno 240 ML,2,IDR 22600.00
UNIPREP KELAPA GADING,WALLENS CHOCOSHOES,3,IDR 45000.00
UNIPREP KELAPA GADING,yoritos,3,IDR 18000.00
UNIPREP KELAPA GADING,YOU C1000 orange water 500ML,3,IDR 39000.00
UNIPREP KELAPA GADING,MONDE SERENA SNACK 25 GRAM,5,IDR 29000.00
UNIPREP KELAPA GADING,NESCAFE ICE BLACK,6,IDR 78000.00
UNIPREP KELAPA GADING,MONDE EGG ROLL CHOCOLATE,6,IDR 42000.00
UNIPREP KELAPA GADING,POCARI SWEAT 350ML,5,IDR 49000.00
UNIPREP KELAPA GADING,potato q rasa sosis meksiko,1,IDR 5000.00
UNIPREP KELAPA GADING,Spix mi goreng,2,IDR 12000.00
UNIPREP KELAPA GADING,EGG ROLL CHEESE,1,IDR 7000.00
UNIPREP KELAPA GADING,CIMORY COKLAT 250ML,2,IDR 22000.00
UNIPREP KELAPA GADING,JAVACOFFE MOCHA,1,IDR 13000.00
UNIPREP KELAPA GADING,Le Mineral 600ML,6,IDR 41000.00
UNIPREP KELAPA GADING,Beng Beng Maxx,7,IDR 49000.00
UNIPREP KELAPA GADING,CROISANT 60 GRAM,3,IDR 24000.00
UNIPREP KELAPA GADING,Nescafe Latte 240 ML,2,IDR 24000.00
UNIPREP KELAPA GADING,Teh Pucuk 350ML,1,IDR 7000.00
UNIPREP KELAPA GADING,Hydro Coco 250ML,1,IDR 10000.00
