Vending Machine Name,Product,Qty Sold,Sales
UNIPREP PONDOK INDAH,AQUA 600ml,9,IDR 63000.00
UNIPREP PONDOK INDAH,INACO MINI PUDDING,5,IDR 25500.00
UNIPREP PONDOK INDAH,FANTA KALENG 250ML,1,IDR 7000.00
UNIPREP PONDOK INDAH,POCARI SWEAT 350ML,13,IDR 126000.00
UNIPREP PONDOK INDAH,INACO MINI JELLY AND PUDDING,1,IDR 9000.00
UNIPREP PONDOK INDAH,MIE SEDAP CUP RAWIT BINGIT,7,IDR 70000.00
UNIPREP PONDOK INDAH,MONDE SERENA SNACK 25 GRAM,7,IDR 42000.00
UNIPREP PONDOK INDAH,french fries 2000,6,IDR 40000.00
UNIPREP PONDOK INDAH,yoritos,12,IDR 72000.00
UNIPREP PONDOK INDAH,CIMORY COKLAT 250ML,18,IDR 183000.00
UNIPREP PONDOK INDAH,Pulpy Orange 300ML,4,IDR 32000.00
UNIPREP PONDOK INDAH,SPRITE KALENG 250ML,9,IDR 72000.00
UNIPREP PONDOK INDAH,GO POTATO,6,IDR 42000.00
UNIPREP PONDOK INDAH,POTATO CHIP  50G,12,IDR 226000.00
UNIPREP PONDOK INDAH,Teh Pucuk 350ML,10,IDR 65000.00
UNIPREP PONDOK INDAH,NESCAFE ICE BLACK,1,IDR 12000.00
UNIPREP PONDOK INDAH,fire crackers sambal mangga,4,IDR 20000.00
UNIPREP PONDOK INDAH,Tik Tak Sapi Panggang 90 GRAM,1,IDR 10000.00
UNIPREP PONDOK INDAH,INACO IM COCO LECI,4,IDR 48000.00
UNIPREP PONDOK INDAH,Beng Beng Maxx,24,IDR 150000.00
UNIPREP PONDOK INDAH,Tik Tak Original 90 GRAM,3,IDR 30000.00
UNIPREP PONDOK INDAH,Hydro Coco 250ML,9,IDR 90000.00
UNIPREP PONDOK INDAH,TEH SEJUK,10,IDR 64000.00
UNIPREP PONDOK INDAH,CIMORY MARIE REGAL,6,IDR 60000.00
UNIPREP PONDOK INDAH,CROISANT 60 GRAM,3,IDR 30000.00
UNIPREP PONDOK INDAH,MIE SEDAAP SELECTION KOREAN SPICY,5,IDR 50000.00
UNIPREP PONDOK INDAH,KUSUKA AYAM MADU,6,IDR 31000.00
UNIPREP PONDOK INDAH,Nescafe Latte 240 ML,12,IDR 156000.00
UNIPREP PONDOK INDAH,Mie Sedaap Soto,6,IDR 60000.00
UNIPREP PONDOK INDAH,AW 250ML,7,IDR 68000.00
UNIPREP PONDOK INDAH,Lasegar leci lemon,3,IDR 30000.00
UNIPREP PONDOK INDAH,mayasi paw,4,IDR 28000.00
UNIPREP PONDOK INDAH,POTAKREZ sapi panggang,9,IDR 48000.00
UNIPREP PONDOK INDAH,TWISTKO,7,IDR 70000.00
UNIPREP PONDOK INDAH,MONDE EGG ROLL CHOCOLATE,1,IDR 7000.00
UNIPREP PONDOK INDAH,Nescafe CappuccIno 240 ML,1,IDR 13000.00
UNIPREP PONDOK INDAH,SUNKIST LEMON C,12,IDR 84000.00
UNIPREP PONDOK INDAH,LE MINERALE 2,45,IDR 293000.00
UNIPREP PONDOK INDAH,MILO ORIGINAL 220ML,9,IDR 117000.00
UNIPREP PONDOK INDAH,WALLENS CHOCOSHOES,9,IDR 132000.00
UNIPREP PONDOK INDAH,LASEGAR LEMON,1,IDR 9000.00
UNIPREP PONDOK INDAH,SUKRO OVEN 25 GRAM,12,IDR 71000.00
UNIPREP PONDOK INDAH,LARUTAN CAP KAKI TIGA LECI,1,IDR 10000.00
UNIPREP PONDOK INDAH,Kopiko Lucky Day 180 ML,3,IDR 28000.00
UNIPREP PONDOK INDAH,sunkist water orange,1,IDR 9000.00
UNIPREP PONDOK INDAH,Astor Double Coklat Kecil 40 GRAM,3,IDR 30000.00
UNIPREP PONDOK INDAH,MIE SEDAP CUP GORENG,1,IDR 10000.00
UNIPREP PONDOK INDAH,WALENS BLUEBERRY SOES,1,IDR 15000.00
