Vending Machine Name,Product,Qty Sold,Sales
UNIV BAKRIE 2,potato q rasa rumput laut,2,IDR 11000.00
UNIV BAKRIE 2,POKKA LYCHEE TEA,1,IDR 9000.00
UNIV BAKRIE 2,bro tatoz rendang sapi,1,IDR 7000.00
UNIV BAKRIE 2,AQUA 600ml,6,IDR 42000.00
UNIV BAKRIE 2,TWISTKO,2,IDR 14000.00
UNIV BAKRIE 2,POCARI SWEAT 350ML,1,IDR 10000.00
UNIV BAKRIE 2,INACO MINI PUDDING,1,IDR 5000.00
UNIV BAKRIE 2,CIMORY MATCHA,1,IDR 9000.00
UNIV BAKRIE 2,LARUTAN CAP KAKI TIGA LECI,1,IDR 9000.00
UNIV BAKRIE 2,Tik Tak Original 90 GRAM,1,IDR 9000.00
UNIV BAKRIE 2,indocafe latte goya,1,IDR 8000.00
UNIV BAKRIE 2,Lasegar leci lemon,1,IDR 10000.00
UNIV BAKRIE 2,Hydro Coco 250ML,1,IDR 8000.00
UNIV BAKRIE 2,WALENS BLUEBERRY SOES,1,IDR 15000.00
UNIV BAKRIE 2,CIMORY STRAWBERY 250ML,1,IDR 8000.00
UNIV BAKRIE 2,EGG ROLL STRAWBERRY,2,IDR 14000.00
UNIV BAKRIE 2,Pulpy Orange 300ML,2,IDR 19200.00
UNIV BAKRIE 2,Kacang Mayasi,3,IDR 15000.00
UNIV BAKRIE 2,Spix mi goreng,3,IDR 19500.00
UNIV BAKRIE 2,french fries 2000,1,IDR 7000.00
UNIV BAKRIE 2,CROISANT 60 GRAM,1,IDR 9000.00
UNIV BAKRIE 2,iyes mix,1,IDR 6000.00
