Vending Machine Name,Product,Qty Sold,Sales
UNIVERSAL LUGAGE 2,POKKA LYCHEE TEA,1,IDR 8000.00
UNIVERSAL LUGAGE 2,AQUA 600ml,16,IDR 112000.00
UNIVERSAL LUGAGE 2,CHIKI TWIST 40 GRAM,1,IDR 9000.00
UNIVERSAL LUGAGE 2,FANTA KALENG 250ML,1,IDR 8000.00
UNIVERSAL LUGAGE 2,INACO IM COCO LECI,2,IDR 20000.00
UNIVERSAL LUGAGE 2,Nescafe CappuccIno 240 ML,1,IDR 12000.00
UNIVERSAL LUGAGE 2,Pulpy Orange 300ML,2,IDR 12000.00
UNIVERSAL LUGAGE 2,CIMORY COKLAT 250ML,1,IDR 10000.00
UNIVERSAL LUGAGE 2,TEH SEJUK,2,IDR 12000.00
UNIVERSAL LUGAGE 2,SUNKIST LEMON C,1,IDR 7000.00
UNIVERSAL LUGAGE 2,MIE SEDAP CUP RAWIT BINGIT,3,IDR 30000.00
UNIVERSAL LUGAGE 2,AW 250ML,5,IDR 50000.00
UNIVERSAL LUGAGE 2,MONDE EGG ROLL CHOCOLATE,2,IDR 12000.00
UNIVERSAL LUGAGE 2,Kopiko Lucky Day 180 ML,1,IDR 9000.00
UNIVERSAL LUGAGE 2,NESCAFE ICE BLACK,2,IDR 25000.00
UNIVERSAL LUGAGE 2,CIMORY STRAWBERY 250ML,2,IDR 20000.00
UNIVERSAL LUGAGE 2,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 20000.00
UNIVERSAL LUGAGE 2,LARUTAN CAP KAKI TIGA LECI,2,IDR 18000.00
UNIVERSAL LUGAGE 2,Mie Sedaap Soto,2,IDR 20000.00
UNIVERSAL LUGAGE 2,Beng Beng Maxx,1,IDR 7000.00
UNIVERSAL LUGAGE 2,WALENS BLUEBERRY SOES,1,IDR 15000.00
UNIVERSAL LUGAGE 2,LASEGAR LEMON,1,IDR 10000.00
UNIVERSAL LUGAGE 2,MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 10000.00
UNIVERSAL LUGAGE 2,POCARI SWEAT 350ML,2,IDR 20000.00
UNIVERSAL LUGAGE 2,Hydro Coco 250ML,3,IDR 27000.00
UNIVERSAL LUGAGE 2,MILKU COKLAT 200ML,2,IDR 10000.00
UNIVERSAL LUGAGE 2,LE MINERALE 2,7,IDR 48500.00
UNIVERSAL LUGAGE 2,Nescafe Latte 240 ML,1,IDR 12000.00
UNIVERSAL LUGAGE 2,YOU C1000 orange water 500ML,1,IDR 12000.00
