Vending Machine Name,Product,Qty Sold,Sales
UNIVERSITAS PANCASILA,Teh Pucuk 350ML,17,IDR 105000.00
UNIVERSITAS PANCASILA,CIMORY MARIE REGAL,5,IDR 46000.00
UNIVERSITAS PANCASILA,MONDE SERENA SNACK 25 GRAM,5,IDR 30000.00
UNIVERSITAS PANCASILA,CIMORY COKLAT 250ML,6,IDR 60000.00
UNIVERSITAS PANCASILA,CIMORY STRAWBERY 250ML,3,IDR 28000.00
UNIVERSITAS PANCASILA,Lasegar leci lemon,2,IDR 16000.00
UNIVERSITAS PANCASILA,YOU C1000 orange water 500ML,7,IDR 76000.00
UNIVERSITAS PANCASILA,Nescafe Latte 240 ML,5,IDR 60000.00
UNIVERSITAS PANCASILA,Tic tic rasa bawang asli,5,IDR 40000.00
UNIVERSITAS PANCASILA,LARUTAN CAP KAKI TIGA JERUK,1,IDR 10000.00
UNIVERSITAS PANCASILA,potato q rasa rumput laut,1,IDR 5000.00
UNIVERSITAS PANCASILA,MILKU STRAWBERRY,2,IDR 10000.00
UNIVERSITAS PANCASILA,MILKU COKLAT 200ML,2,IDR 10000.00
UNIVERSITAS PANCASILA,POKKA LYCHEE TEA,5,IDR 49000.00
UNIVERSITAS PANCASILA,AW 250ML,2,IDR 20000.00
UNIVERSITAS PANCASILA,Coca cola kaleng 250ml,5,IDR 50000.00
UNIVERSITAS PANCASILA,TEH SEJUK,8,IDR 53000.00
UNIVERSITAS PANCASILA,CHIKI twist ayam panggang,2,IDR 18000.00
UNIVERSITAS PANCASILA,Hydro Coco 250ML,6,IDR 60000.00
UNIVERSITAS PANCASILA,LARUTAN CAP KAKI TIGA LECI,7,IDR 70000.00
UNIVERSITAS PANCASILA,NESCAFE ICE BLACK,1,IDR 13000.00
UNIVERSITAS PANCASILA,Pulpy Orange 300ML,2,IDR 14000.00
UNIVERSITAS PANCASILA,POKKA LEMON TEA,4,IDR 36000.00
UNIVERSITAS PANCASILA,Kopiko Lucky Day 180 ML,1,IDR 9000.00
UNIVERSITAS PANCASILA,CIMORY MATCHA,4,IDR 40000.00
UNIVERSITAS PANCASILA,fire crackers sambal mangga,12,IDR 60000.00
UNIVERSITAS PANCASILA,Spix mi goreng,11,IDR 67500.00
UNIVERSITAS PANCASILA,SUNKIST LEMON C,2,IDR 14000.00
UNIVERSITAS PANCASILA,yoritos,2,IDR 12000.00
UNIVERSITAS PANCASILA,FANTA KALENG 250ML,2,IDR 20000.00
UNIVERSITAS PANCASILA,GEMEZ CHILY SPICY 30GRAM,3,IDR 12000.00
UNIVERSITAS PANCASILA,Nescafe CappuccIno 240 ML,6,IDR 72000.00
UNIVERSITAS PANCASILA,POTAKREZ sapi panggang,2,IDR 10000.00
UNIVERSITAS PANCASILA,sunkist water orange,1,IDR 9000.00
UNIVERSITAS PANCASILA,MILO ORIGINAL 220ML,8,IDR 104000.00
UNIVERSITAS PANCASILA,Le Mineral 600ML,15,IDR 103500.00
UNIVERSITAS PANCASILA,POCARI SWEAT 350ML,6,IDR 60000.00
UNIVERSITAS PANCASILA,KUSUKA AYAM MADU,3,IDR 20000.00
UNIVERSITAS PANCASILA,Astor Double Coklat Kecil 40 GRAM,5,IDR 50000.00
UNIVERSITAS PANCASILA,french fries 2000,4,IDR 28000.00
UNIVERSITAS PANCASILA,SUKRO OVEN 25 GRAM,1,IDR 6000.00
