Book Title,Stars,Book Type ,Author,Trope ,Languages
Twisted Love,5,Fiction,Anna Huang,brother's best friend,english
Twisted Games,4,Fiction,Anna Huang,bodyguard x princess,english 
Twisted Hate,4,Fiction,Anna Huang,enemies to lovers,english 
Twisted Lies,4,Fiction,Anna Huang,fake dating,english 
Faux Beau,4,Fiction,Marina Adair,fake dating ,english
The Deal ,3,Fiction ,Elle Kennedy,fake dating,english 
The Mistake,3,Fiction ,Elle Kennedy,second chance,english
The Goal ,3,Fiction ,Elle Kennedy,FWB to lovers,english 
The Score,3,Fiction,Elle Kennedy,surprise pregnancy,english
The Darkest Note,4,Fiction,Nelia Alarcon,enemies to lovers,english 
The Ruthless Note,4,Fiction,Nelia Alarcon,enemies to lovers,english 
The Broken Note,4,Fiction ,Nelia Alarcon,enemies to lovers,english
101 Essays That Will Change The Way You Think,5,Self Help Book,Brianna West,self help,english 
"When You're Ready, This Is How You Heal",5,Self Help Book,Brianna West,self help ,english 
The Naturals,5,Fiction,Jennifer Lynn Barnes,mistery thriller,english 
Killer Instinct,5,Fiction,Jennifer Lynn Barnes,mistery thriller,english 
Omen ,5,Fiction,Lexie Xu,mistery thriller,indonesian
Tujuh Lukisan Horror,4,Fiction,Lexie Xu,mistery thriller,indonesian
Misteri Organisasi The Judges,5,Fiction,Lexie Xu,mistery thriller,indonesian 
Malam Karnaval Berdarah ,4,Fiction ,Lexie Xu ,mistery thriller,indonesian 
Kutukan Hantu Opera ,4,Fiction,Lexie Xu ,mistery thriller,indonesian 
Sang Pengkhianat,5,Fiction ,Lexie Xu,mistery thriller,indonesian
Target Terakhir,5,Fiction,Lexie Xu,mistery thriller,indonesian 
Rahasia Tergelap,4,Fiction,Lexie Xu,mistery thriller,indonesian
Perburuan Dalam Kegelapan ,4,Fiction,Lexie Xu,mistery thriller,indonesian
Malaikan Berhati Gelap ,4,Fiction,Lexie Xu,mistery thriller,indonesian
Dibalik Sosok Gelap ,4,Fiction,Lexie Xu,mistery thriller,indonesian
Buku Harian Pangeran Kegelapan,4,Fiction,Lexie Xu,mistery thriller,indonesian
Akhir Tergelap,4,Fiction,Lexie Xu,mistery thriller,indonesian
"My Father's Eyes, My Mother's Rage",5,Poetry Collection ,Rose Brik,poetry ,english 
