Transaction,Machine,Product
2024-02-01 00:03:55,PT MATRA RODA PIRANTI 1,CIMORY COKLAT 250ML
2024-02-01 00:06:47,PT MATRA RODA PIRANTI 1,MILO ORIGINAL 220ML
2024-02-01 00:13:14,PT MATRA RODA PIRANTI 1,LARUTAN CAP KAKI TIGA LECI
2024-02-01 00:24:13,HOTEL PARK HYATT,CIMORY ALMOND
2024-02-01 00:30:23,LION VILLAGE 1,AQUA 600ml
2024-02-01 00:30:23,LION VILLAGE 1,AQUA 600ml
2024-02-01 00:30:56,ST REGIST 2,MILKU COKLAT 200ML
2024-02-01 00:41:17,DIGNITAS ACADEMY,CROISANT 60 GRAM
2024-02-01 00:50:44,RSCM 3,Beng Beng Maxx
2024-02-01 00:50:44,RSCM 3,Beng Beng Maxx
2024-02-01 00:58:56,LION VILLAGE 2,AQUA 600ml
2024-02-01 00:58:56,LION VILLAGE 2,AQUA 600ml
2024-02-01 00:58:56,LION VILLAGE 2,AQUA 600ml
2024-02-01 00:58:56,LION VILLAGE 2,Nescafe CappuccIno 240 ML
2024-02-01 00:58:56,LION VILLAGE 2,Nescafe CappuccIno 240 ML
2024-02-01 01:02:25,ST REGIST 2,Kacang Mayasi
2024-02-01 01:02:25,ST REGIST 2,SUKRO OVEN 25 GRAM
2024-02-01 01:03:26,RSCM 4,MIE SEDAP CUP KARI AYAM SPESIAL
2024-02-01 01:04:35,RSCM 4,Mie Sedaap Soto
2024-02-01 01:06:15,RSCM 4,YOU C1000 orange water 500ML
2024-02-01 01:06:15,RSCM 4,POCARI SWEAT 350ML
2024-02-01 01:06:15,RSCM 4,CIMORY ALMOND
2024-02-01 01:10:42,PT SINERGI,Mie Sedaap Soto
2024-02-01 01:12:52,PT SINERGI,MIE SEDAP CUP RAWIT BINGIT
2024-02-01 01:13:09,CV JAYA ABADI 3,TEH SEJUK
2024-02-01 01:25:33,RSCM 3,potato q rasa rumput laut
2024-02-01 01:25:33,RSCM 3,INACO IM COCO LECI
2024-02-01 01:35:11,RSCM 3,LE MINERALE 2
2024-02-01 01:35:11,RSCM 3,LE MINERALE 2
2024-02-01 01:47:47,PT MATRA RODA PIRANTI 2,MIE SEDAP CUP GORENG
2024-02-01 01:52:17,ST REGIST 2,Kopiko Lucky Day 180 ML
2024-02-01 01:58:10,ST REGIST 2,Teh Pucuk 350ML
2024-02-01 01:59:31,ST REGIST 2,fire crackers sambal mangga
2024-02-01 02:00:52,PT MATRA RODA PIRANTI 3,SUKRO OVEN 25 GRAM
2024-02-01 02:00:52,PT MATRA RODA PIRANTI 3,fire crackers sambal mangga
2024-02-01 02:00:52,PT MATRA RODA PIRANTI 3,Nescafe CappuccIno 240 ML
2024-02-01 02:06:45,UNIVERSAL LUGAGE 2,POKKA LYCHEE TEA
2024-02-01 02:10:10,BAKRIE AND BROTHER LT 27,SUKRO OVEN 25 GRAM
2024-02-01 02:12:25,NINE RESIDENCE,Le Mineral 600ML
2024-02-01 02:13:15,NINE RESIDENCE,sunkist water orange
2024-02-01 02:23:01,PT MATRA RODA PIRANTI 1,POCARI SWEAT 350ML
2024-02-01 02:25:27,BAKRIE AND BROTHER LT 27,INACO MINI JELLY AND PUDDING
2024-02-01 02:49:10,ST REGIST 2,MILO ORIGINAL 220ML
2024-02-01 02:58:52,BAKRIE AND BROTHER LT 27,CIMORY MATCHA
2024-02-01 02:58:52,BAKRIE AND BROTHER LT 27,NESCAFE ICE BLACK
2024-02-01 03:09:56,RS DINDA,MIE SEDAP CUP GORENG
2024-02-01 03:13:15,BAKRIE AND BROTHER LT 27,KRIZZI COKLAT
2024-02-01 03:13:15,BAKRIE AND BROTHER LT 27,AW 250ML
2024-02-01 03:20:16,ARWANA CITRA,MIE SEDAP CUP KARI AYAM SPESIAL
2024-02-01 03:25:24,RSCM 3,Mie Sedaap Soto
2024-02-01 03:33:39,BAKRIE AND BROTHER LT 27,MILO ORIGINAL 220ML
2024-02-01 03:33:39,BAKRIE AND BROTHER LT 27,MILO ORIGINAL 220ML
2024-02-01 03:37:41,PT MATRA RODA PIRANTI 3,MILKU COKLAT 200ML
2024-02-01 03:37:41,PT MATRA RODA PIRANTI 3,KUSUKA AYAM MADU
2024-02-01 03:45:27,BAKRIE AND BROTHER LT 27,MIE SEDAP CUP GORENG
2024-02-01 03:46:47,BAKRIE AND BROTHER LT 27,Beng Beng Maxx
2024-02-01 03:49:33,BAKRIE AND BROTHER LT 27,Mie Sedaap Soto
2024-02-01 03:55:20,RS UI LT 5,AQUA 600ml
2024-02-01 04:10:31,BAKRIE AND BROTHER LT 27,fire crackers
2024-02-01 04:25:29,PT MATRA RODA PIRANTI 3,LARUTAN CAP KAKI TIGA LECI
2024-02-01 04:31:15,RSIA PRATIWI,MIE SEDAAP SELECTION KOREAN SPICY
2024-02-01 05:11:43,RS JAKARTA 3,CROISANT 60 GRAM
2024-02-01 05:43:51,PT MATRA RODA PIRANTI 2,Mie Sedaap Soto
2024-02-01 06:19:32,HOTEL PARK HYATT,Nescafe CappuccIno 240 ML
2024-02-01 06:24:11,ST REGIST 2,Mie Sedaap Soto
