Machine Tag,Financial Loss
AKULAKU,"9,101"
ALL SEDAYU,"37,867"
ARWANA CITRA,"6,384"
AXA 4,"4,500"
AXA KUNINGAN 1,"6,384"
AXA KUNINGAN 2,"7,600"
BAKRIE AND BROTHER LT 27,"40,651"
BNI RAWAMANGUN,"29,541"
CLUSTER ATHALIA 1,"27,195"
CLUSTER ATHALIA 2,"104,150"
CV JAYA ABADI 3,"2,100"
DIGNITAS ACADEMY,"27,514"
GRAHA ELNUSA,"3,192"
GRIYA PATRIA GUEST HOUSE,"5,917"
HALIM,"21,921"
HOTEL 101,"8,550"
HOTEL HILTON,"2,100"
HOTEL KEMPINSKI 1,"29,207"
HOTEL MERCURE,"118,785"
HOTEL PARK HYATT,"88,122"
Hotel Hermitage,"8,692"
INDOCEMENT,"3,192"
INDOCEMENT 2,"4,000"
INDOCEMENT 3,"6,300"
INDOCEMENT 5,"2,900"
INDOCEMENT 6,"10,875"
INDOCEMENT 7,"2,801"
KENGSINGTON OFFICE TOWER,"5,001"
KLINIK LALITA BEKASI,"28,500"
LABSCHOOL 1,"4,700"
LABSCHOOL 2,"15,668"
LION VILLAGE 1,"6,384"
LION VILLAGE 2,"39,384"
LIPPO TOWER HOLLAND,"6,107"
LIPPO TOWER HOLLAND 2,"22,820"
LIPPO TOWER HOLLAND 3,"9,995"
MANULIFE KUNINGAN 1,"13,400"
MANULIFE KUNINGAN 2,"3,192"
NEO SOHO,"5,892"
NINE RESIDENCE,"6,475"
PT BASF,"47,394"
PT MATRA RODA PIRANTI 1,"2,480"
PT MATRA RODA PIRANTI 3,"1,948"
PT SINERGI,"4,271"
PT TIMERINDO,"3,192"
PULOMAS 2,"4,914"
PULOMAS 4,"13,476"
RS DINDA,"24,292"
RS JAKARTA 2,"85,049"
RS JAKARTA 3,"6,100"
RS UI FARMASI,"5,292"
RS UI IGD,"61,600"
RS UI LOBBY,"86,450"
RS UI LT 5,"112,589"
RSCM 2,"61,639"
RSCM 3,"18,250"
RSCM 4,"2,100"
RSIA PRATIWI,"70,500"
SAMSUNG KUNINGAN 2,"60,725"
SEKOLAH AL AZHAR GRAND WISATA BEKASI,"51,806"
SEKOLAH BSP,"2,021"
SEKOLAH FAJAR,"6,092"
SMART HAPPY KIDS,"34,984"
SMK TELKOM,"5,750"
ST REGIST 1,"2,000"
ST REGIST 2,"12,707"
UNIPREP BSD 1,"3,192"
UNIPREP PONDOK INDAH,"21,392"
UNIV BAKRIE 2,"5,825"
UNIV BAKRIE 3,"7,800"
UNIVERSITAS PANCASILA,"43,932"
