Product Name,Financial Loss
Beng Beng Maxx,"239,400"
YOU C1000 orange water 500ML,"144,900"
POCARI SWEAT 350ML,"123,200"
Teh Pucuk 350ML,"63,882"
CIMORY COKLAT 250ML,"55,000"
CIMORY MARIE REGAL,"55,000"
WALLENS CHOCOSHOES,"53,900"
MILO ORIGINAL 220ML,"51,600"
TWISTKO,"47,600"
french fries 2000,"46,200"
POTATO CHIP  50G,"42,400"
MONDE SERENA SNACK 25 GRAM,"42,000"
sunkist water orange,"37,500"
CIMORY ALMOND,"33,000"
Pulpy Orange 300ML,"32,625"
SUKRO OVEN 25 GRAM,"32,550"
POKKA LYCHEE TEA,"29,520"
iyes mix,"26,000"
Spix mi goreng,"25,209"
LARUTAN CAP KAKI TIGA LECI,"22,800"
Nescafe Latte 240 ML,"22,800"
EGG ROLL STRAWBERRY,"21,600"
KUSUKA AYAM MADU,"20,604"
INACO MINI JELLY AND PUDDING,"19,599"
INACO IM COCO LECI,"18,780"
AW 250ML,"18,668"
INACO MINI PUDDING,"18,500"
MONDE EGG ROLL CHOCOLATE,"18,090"
Hydro Coco 250ML,"17,475"
Astor Double Coklat Kecil 40 GRAM,"16,216"
Nescafe CappuccIno 240 ML,"15,960"
Coca Cola Botol 390ML,"15,600"
MIE SEDAP CUP GORENG,"12,813"
MILKU COKLAT 200ML,"12,400"
yoritos,"12,000"
SUNKIST LEMON C,"11,250"
POKKA LEMON TEA,"9,840"
Go potato cheese,"9,400"
CROISANT 60 GRAM,"9,400"
Coca cola kaleng 250ml,"8,750"
SPRITE KALENG 250ML,"8,750"
TEH SEJUK,"8,400"
AQUA 600ml,"8,084"
potato q rasa sosis meksiko,"8,000"
mayasi paw,"8,000"
Le Mineral 600ML,"7,792"
WALENS BLUEBERRY SOES,"7,060"
INACO COCO MELON,"6,260"
EGG ROLL CHEESE,"5,800"
Tic tic rasa bawang asli,"5,700"
yeos minuman sari kedelai,"5,500"
CIMORY MATCHA,"5,500"
Lasegar leci lemon,"5,150"
Tik Tak Sapi Panggang 90 GRAM,"5,001"
Tik Tak Original 90 GRAM,"5,001"
Kopiko Lucky Day 180 ML,"5,000"
MILKU STRAWBERRY,"4,960"
GO POTATO,"4,700"
TOLAK ANGIN,"4,500"
Mie Sedaap Soto,"4,271"
MIE SEDAAP SELECTION KOREAN SPICY,"4,271"
fire crackers sambal mangga,"4,000"
POTAKREZ sapi panggang,"4,000"
Piattos 35GRAM,"3,900"
Kacang Mayasi,"2,000"
Oi Ocha Green Tea 300 ml,"1,190"
