Product Name,Financial Loss
AQUA 600ml,"8,084"
AW 250ML,"18,668"
Astor Double Coklat Kecil 40 GRAM,"16,216"
Beng Beng Maxx,"239,400"
CIMORY ALMOND,"33,000"
CIMORY COKLAT 250ML,"55,000"
CIMORY MARIE REGAL,"55,000"
CIMORY MATCHA,"5,500"
CROISANT 60 GRAM,"9,400"
Coca Cola Botol 390ML,"15,600"
Coca cola kaleng 250ml,"8,750"
EGG ROLL CHEESE,"5,800"
EGG ROLL STRAWBERRY,"21,600"
GO POTATO,"4,700"
Go potato cheese,"9,400"
Hydro Coco 250ML,"17,475"
INACO COCO MELON,"6,260"
INACO IM COCO LECI,"18,780"
INACO MINI JELLY AND PUDDING,"19,599"
INACO MINI PUDDING,"18,500"
KUSUKA AYAM MADU,"20,604"
Kacang Mayasi,"2,000"
Kopiko Lucky Day 180 ML,"5,000"
LARUTAN CAP KAKI TIGA LECI,"22,800"
Lasegar leci lemon,"5,150"
Le Mineral 600ML,"7,792"
MIE SEDAAP SELECTION KOREAN SPICY,"4,271"
MIE SEDAP CUP GORENG,"12,813"
MILKU COKLAT 200ML,"12,400"
MILKU STRAWBERRY,"4,960"
MILO ORIGINAL 220ML,"51,600"
MONDE EGG ROLL CHOCOLATE,"18,090"
MONDE SERENA SNACK 25 GRAM,"42,000"
Mie Sedaap Soto,"4,271"
Nescafe CappuccIno 240 ML,"15,960"
Nescafe Latte 240 ML,"22,800"
Oi Ocha Green Tea 300 ml,"1,190"
POCARI SWEAT 350ML,"123,200"
POKKA LEMON TEA,"9,840"
POKKA LYCHEE TEA,"29,520"
POTAKREZ sapi panggang,"4,000"
POTATO CHIP  50G,"42,400"
Piattos 35GRAM,"3,900"
Pulpy Orange 300ML,"32,625"
SPRITE KALENG 250ML,"8,750"
SUKRO OVEN 25 GRAM,"32,550"
SUNKIST LEMON C,"11,250"
Spix mi goreng,"25,209"
TEH SEJUK,"8,400"
TOLAK ANGIN,"4,500"
TWISTKO,"47,600"
Teh Pucuk 350ML,"63,882"
Tic tic rasa bawang asli,"5,700"
Tik Tak Original 90 GRAM,"5,001"
Tik Tak Sapi Panggang 90 GRAM,"5,001"
WALENS BLUEBERRY SOES,"7,060"
WALLENS CHOCOSHOES,"53,900"
YOU C1000 orange water 500ML,"144,900"
fire crackers sambal mangga,"4,000"
french fries 2000,"46,200"
iyes mix,"26,000"
mayasi paw,"8,000"
potato q rasa sosis meksiko,"8,000"
sunkist water orange,"37,500"
yeos minuman sari kedelai,"5,500"
yoritos,"12,000"
