"Product Description","Product VPN","Machine Tag","Status","Current Qty","Max Qty","Stock Qty Needed","Latest Date/Time"
"Teh Pucuk 350ML","SK-6","MANULIFE KUNINGAN 1","","1","6","5","2024-02-28 13:35:57"
"Kacang Mayasi","SK-17","MANULIFE KUNINGAN 1","","4","5","1","2024-02-17 10:10:16"
"YOU C1000 orange water 500ML","skyouc","MANULIFE KUNINGAN 1","","11","15","4","2024-02-29 17:48:38"
"Nescafe CappuccIno 240 ML","sknc","MANULIFE KUNINGAN 1","","4","6","2","2024-02-17 09:59:08"
"Beng Beng Maxx","SK 22","MANULIFE KUNINGAN 1","","12","12","0","2024-02-07 16:53:58"
"Astor Double Coklat Kecil 40 GRAM","SK26","MANULIFE KUNINGAN 1","","9","10","1","2024-02-28 13:37:03"
"Tik Tak Sapi Panggang 90 GRAM","SK28","MANULIFE KUNINGAN 1","","0","5","5","2024-02-07 16:43:52"
"Hydro Coco 250ML","SK32","MANULIFE KUNINGAN 1","","6","7","1","2024-02-28 13:42:27"
"AW 330ML","SK57","MANULIFE KUNINGAN 1","","5","6","1","2024-02-28 13:41:50"
"SUKRO OVEN 25 GRAM","Sk081","MANULIFE KUNINGAN 1","","4","5","1","2024-02-28 13:35:58"
"POCARI SWEAT 350ML","Sk082","MANULIFE KUNINGAN 1","","10","12","2","2024-02-28 13:35:57"
"MILKU COKLAT 200ML","Sk121","MANULIFE KUNINGAN 1","","4","7","3","2024-02-03 07:26:15"
"CROISANT 60 GRAM","Sk122","MANULIFE KUNINGAN 1","","0","5","5","2024-02-28 13:31:44"
"MONDE SERENA SNACK 25 GRAM","SK 202","MANULIFE KUNINGAN 1","","2","5","3","2024-02-29 16:35:06"
"MIE SEDAP CUP RAWIT BINGIT","SK 314","MANULIFE KUNINGAN 1","","4","4","0","2024-02-28 13:35:57"
"MILKU STRAWBERRY","SK 328","MANULIFE KUNINGAN 1","","6","7","1","2024-02-07 15:42:57"
"LARUTAN CAP KAKI TIGA JAMBU BIJI","SK 337","MANULIFE KUNINGAN 1","","0","0","0","2024-02-07 16:44:31"
"POKKA LYCHEE TEA","SK803","MANULIFE KUNINGAN 1","","4","5","1","2024-02-28 13:40:53"
"LARUTAN CAP KAKI TIGA LECI","SK 377","MANULIFE KUNINGAN 1","","5","10","5","2024-02-28 14:04:11"
"MONDE EGG ROLL CHOCOLATE","Sk-446","MANULIFE KUNINGAN 1","","3","12","9","2024-02-07 18:09:07"
"PANDA CINCAU JELLY","Pcl01","MANULIFE KUNINGAN 1","","9","10","1","2024-02-28 13:38:42"
"KUSUKA AYAM MADU","Kam 2","MANULIFE KUNINGAN 1","","7","10","3","2024-02-28 13:35:57"
"INACO MINI PUDDING","SK-INACO 200","MANULIFE KUNINGAN 1","","3","12","9","2024-02-07 14:54:38"
"MILO ORIGINAL 220ML","SK-MI03","MANULIFE KUNINGAN 1","","6","7","1","2024-02-28 13:44:36"
"WALENS BLUEBERRY SOES","SK-WB02","MANULIFE KUNINGAN 1","","3","4","1","2024-02-28 13:35:57"
"french fries 2000","SK-FF2000","MANULIFE KUNINGAN 1","","0","5","5","2024-02-28 13:32:23"
"NESCAFE ICE BLACK","SK-NES12","MANULIFE KUNINGAN 1","","6","7","1","2024-02-28 13:35:57"
"TWISTKO","SK-TW001","MANULIFE KUNINGAN 1","","4","5","1","2024-02-28 13:35:58"
"Tic tic rasa bawang asli","SK-tic01","MANULIFE KUNINGAN 1","","3","5","2","2024-02-07 16:57:30"
"Lasegar leci lemon","sk-las01","MANULIFE KUNINGAN 1","","4","5","1","2024-02-28 13:35:57"
"mayasi paw","sk-mp004","MANULIFE KUNINGAN 1","","2","5","3","2024-02-24 10:48:02"
"bro tatoz rendang sapi","sk-bt001","MANULIFE KUNINGAN 1","","0","5","5","2024-02-07 16:44:08"
"potato q rasa rumput laut","sk-pq002","MANULIFE KUNINGAN 1","","0","5","5","2024-02-07 16:43:48"
"TEH SEJUK","SK-TS01","MANULIFE KUNINGAN 1","","1","5","4","2024-02-28 13:35:57"
"POTAKREZ sapi panggang","SK-p005","MANULIFE KUNINGAN 1","","9","10","1","2024-02-28 13:35:58"
"happy-va 105g","sk-hv01","MANULIFE KUNINGAN 1","","5","5","0","2024-02-28 13:39:15"
"Mie Sedaap Soto","SK-2","MANULIFE KUNINGAN 2","","0","4","4","2024-02-13 12:57:35"
"Teh Pucuk 350ML","SK-6","MANULIFE KUNINGAN 2","","9","12","3","2024-02-17 10:49:02"
"Kopiko Lucky Day 180 ML","SK-10","MANULIFE KUNINGAN 2","","6","7","1","2024-02-12 17:24:14"
"Kacang Mayasi","SK-17","MANULIFE KUNINGAN 2","","4","5","1","2024-02-12 17:24:14"
"Nescafe Latte 240 ML","skcl","MANULIFE KUNINGAN 2","","3","6","3","2024-02-21 10:07:51"
"Nescafe CappuccIno 240 ML","sknc","MANULIFE KUNINGAN 2","","0","6","6","2024-02-12 17:07:28"
"Beng Beng Maxx","SK 22","MANULIFE KUNINGAN 2","","12","12","0","2024-02-12 17:24:14"
"Astor Double Coklat Kecil 40 GRAM","SK26","MANULIFE KUNINGAN 2","","0","5","5","2024-02-12 17:06:31"
"Tik Tak Original 90 GRAM","SK29","MANULIFE KUNINGAN 2","","6","10","4","2024-02-21 13:27:33"
"Hydro Coco 250ML","SK32","MANULIFE KUNINGAN 2","","6","14","8","2024-02-21 19:16:40"
"MIE SEDAP CUP GORENG","sk59","MANULIFE KUNINGAN 2","","3","4","1","2024-02-19 06:37:05"
"CIMORY COKLAT 250ML","Sk075","MANULIFE KUNINGAN 2","","0","7","7","2024-02-12 17:07:41"
"POCARI SWEAT 350ML","Sk082","MANULIFE KUNINGAN 2","","0","5","5","2024-02-28 19:28:30"
"MIE SEDAP CUP KARI AYAM SPESIAL","Sk087","MANULIFE KUNINGAN 2","","0","5","5","2024-02-20 15:57:46"
"CIMORY STRAWBERY 250ML","Sk90","MANULIFE KUNINGAN 2","","11","14","3","2024-02-20 15:57:53"
"MILKU COKLAT 200ML","Sk121","MANULIFE KUNINGAN 2","","0","7","7","2024-02-12 17:07:46"
"AW 250ML","SK-201","MANULIFE KUNINGAN 2","","12","12","0","2024-02-12 17:24:14"
"MONDE SERENA SNACK 25 GRAM","SK 202","MANULIFE KUNINGAN 2","","3","10","7","2024-02-27 15:09:05"
"MIE SEDAP CUP RAWIT BINGIT","SK 314","MANULIFE KUNINGAN 2","","0","4","4","2024-02-12 16:38:20"
"MILKU STRAWBERRY","SK 328","MANULIFE KUNINGAN 2","","0","6","6","2024-02-12 17:07:37"
"POKKA LYCHEE TEA","SK803","MANULIFE KUNINGAN 2","","3","5","2","2024-02-27 15:42:27"
"POKKA LEMON TEA","SK 376","MANULIFE KUNINGAN 2","","2","5","3","2024-02-26 15:50:35"
"LARUTAN CAP KAKI TIGA LECI","SK 377","MANULIFE KUNINGAN 2","","2","5","3","2024-02-28 19:28:54"
"FANTA STRAWBERRY 250ML CAN","SK 0202206085753","MANULIFE KUNINGAN 2","","0","6","6","2024-02-12 17:07:35"
"CIMORY MATCHA","SK 392","MANULIFE KUNINGAN 2","","0","7","7","2024-02-12 17:07:52"
"MIE SEDAAP SELECTION KOREAN SPICY","SK 396","MANULIFE KUNINGAN 2","","1","4","3","2024-02-21 17:38:26"
"CIMORY MARIE REGAL","SK-336","MANULIFE KUNINGAN 2","","5","7","2","2024-02-02 16:25:16"
"MONDE PIE MINI","Mp1","MANULIFE KUNINGAN 2","","0","0","0","2024-02-12 17:06:54"
"KUSUKA AYAM MADU","Kam 2","MANULIFE KUNINGAN 2","","3","5","2","2024-02-03 13:10:08"
