Product,Machine,Qty,Qty Needed
Teh Pucuk 350ML,MANULIFE KUNINGAN 1,1,5
Kacang Mayasi,MANULIFE KUNINGAN 1,4,1
YOU C1000 orange water 500ML,MANULIFE KUNINGAN 1,11,4
Nescafe CappuccIno 240 ML,MANULIFE KUNINGAN 1,4,2
Beng Beng Maxx,MANULIFE KUNINGAN 1,12,0
Astor Double Coklat Kecil 40 GRAM,MANULIFE KUNINGAN 1,9,1
Tik Tak Sapi Panggang 90 GRAM,MANULIFE KUNINGAN 1,0,5
Hydro Coco 250ML,MANULIFE KUNINGAN 1,6,1
AW 330ML,MANULIFE KUNINGAN 1,5,1
SUKRO OVEN 25 GRAM,MANULIFE KUNINGAN 1,4,1
POCARI SWEAT 350ML,MANULIFE KUNINGAN 1,10,2
MILKU COKLAT 200ML,MANULIFE KUNINGAN 1,4,3
CROISANT 60 GRAM,MANULIFE KUNINGAN 1,0,5
MONDE SERENA SNACK 25 GRAM,MANULIFE KUNINGAN 1,2,3
MIE SEDAP CUP RAWIT BINGIT,MANULIFE KUNINGAN 1,4,0
MILKU STRAWBERRY,MANULIFE KUNINGAN 1,6,1
LARUTAN CAP KAKI TIGA JAMBU BIJI,MANULIFE KUNINGAN 1,0,0
POKKA LYCHEE TEA,MANULIFE KUNINGAN 1,4,1
LARUTAN CAP KAKI TIGA LECI,MANULIFE KUNINGAN 1,5,5
MONDE EGG ROLL CHOCOLATE,MANULIFE KUNINGAN 1,3,9
PANDA CINCAU JELLY,MANULIFE KUNINGAN 1,9,1
KUSUKA AYAM MADU,MANULIFE KUNINGAN 1,7,3
INACO MINI PUDDING,MANULIFE KUNINGAN 1,3,9
MILO ORIGINAL 220ML,MANULIFE KUNINGAN 1,6,1
WALENS BLUEBERRY SOES,MANULIFE KUNINGAN 1,3,1
french fries 2000,MANULIFE KUNINGAN 1,0,5
NESCAFE ICE BLACK,MANULIFE KUNINGAN 1,6,1
TWISTKO,MANULIFE KUNINGAN 1,4,1
Tic tic rasa bawang asli,MANULIFE KUNINGAN 1,3,2
Lasegar leci lemon,MANULIFE KUNINGAN 1,4,1
mayasi paw,MANULIFE KUNINGAN 1,2,3
bro tatoz rendang sapi,MANULIFE KUNINGAN 1,0,5
potato q rasa rumput laut,MANULIFE KUNINGAN 1,0,5
TEH SEJUK,MANULIFE KUNINGAN 1,1,4
POTAKREZ sapi panggang,MANULIFE KUNINGAN 1,9,1
happy-va 105g,MANULIFE KUNINGAN 1,5,0
Mie Sedaap Soto,MANULIFE KUNINGAN 2,0,4
Teh Pucuk 350ML,MANULIFE KUNINGAN 2,9,3
Kopiko Lucky Day 180 ML,MANULIFE KUNINGAN 2,6,1
Kacang Mayasi,MANULIFE KUNINGAN 2,4,1
Nescafe Latte 240 ML,MANULIFE KUNINGAN 2,3,3
Nescafe CappuccIno 240 ML,MANULIFE KUNINGAN 2,0,6
Beng Beng Maxx,MANULIFE KUNINGAN 2,12,0
Astor Double Coklat Kecil 40 GRAM,MANULIFE KUNINGAN 2,0,5
Tik Tak Original 90 GRAM,MANULIFE KUNINGAN 2,6,4
Hydro Coco 250ML,MANULIFE KUNINGAN 2,6,8
MIE SEDAP CUP GORENG,MANULIFE KUNINGAN 2,3,1
CIMORY COKLAT 250ML,MANULIFE KUNINGAN 2,0,7
POCARI SWEAT 350ML,MANULIFE KUNINGAN 2,0,5
MIE SEDAP CUP KARI AYAM SPESIAL,MANULIFE KUNINGAN 2,0,5
CIMORY STRAWBERY 250ML,MANULIFE KUNINGAN 2,11,3
MILKU COKLAT 200ML,MANULIFE KUNINGAN 2,0,7
AW 250ML,MANULIFE KUNINGAN 2,12,0
MONDE SERENA SNACK 25 GRAM,MANULIFE KUNINGAN 2,3,7
MIE SEDAP CUP RAWIT BINGIT,MANULIFE KUNINGAN 2,0,4
MILKU STRAWBERRY,MANULIFE KUNINGAN 2,0,6
POKKA LYCHEE TEA,MANULIFE KUNINGAN 2,3,2
POKKA LEMON TEA,MANULIFE KUNINGAN 2,2,3
LARUTAN CAP KAKI TIGA LECI,MANULIFE KUNINGAN 2,2,3
FANTA STRAWBERRY 250ML CAN,MANULIFE KUNINGAN 2,0,6
CIMORY MATCHA,MANULIFE KUNINGAN 2,0,7
MIE SEDAAP SELECTION KOREAN SPICY,MANULIFE KUNINGAN 2,1,3
CIMORY MARIE REGAL,MANULIFE KUNINGAN 2,5,2
MONDE PIE MINI,MANULIFE KUNINGAN 2,0,0
KUSUKA AYAM MADU,MANULIFE KUNINGAN 2,3,2
SUNKIST LEMON C,MANULIFE KUNINGAN 2,2,3
WALLENS CHOCOSHOES,MANULIFE KUNINGAN 2,10,0
GO POTATO,MANULIFE KUNINGAN 2,4,1
CHIKI TWIST,MANULIFE KUNINGAN 2,0,0
EGG ROLL STRAWBERRY,MANULIFE KUNINGAN 2,3,9
TARO potato barbecue,MANULIFE KUNINGAN 2,2,3
INACO MINI PUDDING,MANULIFE KUNINGAN 2,4,8
WALENS BLUEBERRY SOES,MANULIFE KUNINGAN 2,3,2
french fries 2000,MANULIFE KUNINGAN 2,5,0
NESCAFE ICE BLACK,MANULIFE KUNINGAN 2,4,2
Spix mi goreng,MANULIFE KUNINGAN 2,7,8
TWISTKO,MANULIFE KUNINGAN 2,1,4
yoritos,MANULIFE KUNINGAN 2,8,2
mayasi paw,MANULIFE KUNINGAN 2,5,0
potato q rasa rumput laut,MANULIFE KUNINGAN 2,2,3
TEH SEJUK,MANULIFE KUNINGAN 2,2,3
Le Mineral 600ML,GRIYA PATRIA GUEST HOUSE,23,2
Teh Pucuk 350ML,GRIYA PATRIA GUEST HOUSE,7,5
Nescafe Latte 240 ML,GRIYA PATRIA GUEST HOUSE,5,2
Nescafe CappuccIno 240 ML,GRIYA PATRIA GUEST HOUSE,5,2
Beng Beng Maxx,GRIYA PATRIA GUEST HOUSE,8,4
Astor Double Coklat Kecil 40 GRAM,GRIYA PATRIA GUEST HOUSE,6,4
Tik Tak Sapi Panggang 90 GRAM,GRIYA PATRIA GUEST HOUSE,0,5
Hydro Coco 250ML,GRIYA PATRIA GUEST HOUSE,7,5
Pulpy Orange 300ML,GRIYA PATRIA GUEST HOUSE,4,1
MIE SEDAP CUP GORENG,GRIYA PATRIA GUEST HOUSE,0,4
SUKRO OVEN 25 GRAM,GRIYA PATRIA GUEST HOUSE,0,5
MIE SEDAP CUP KARI AYAM SPESIAL,GRIYA PATRIA GUEST HOUSE,3,1
CIMORY STRAWBERY 250ML,GRIYA PATRIA GUEST HOUSE,9,5
Coca cola kaleng 250ml,GRIYA PATRIA GUEST HOUSE,5,2
AW 250ML,GRIYA PATRIA GUEST HOUSE,11,3
MONDE SERENA SNACK 25 GRAM,GRIYA PATRIA GUEST HOUSE,3,1
MIE SEDAP CUP RAWIT BINGIT,GRIYA PATRIA GUEST HOUSE,0,4
FANTA KALENG 250ML,GRIYA PATRIA GUEST HOUSE,5,2
MILKU STRAWBERRY,GRIYA PATRIA GUEST HOUSE,0,6
SPRITE KALENG 250ML,GRIYA PATRIA GUEST HOUSE,5,2
POKKA LYCHEE TEA,GRIYA PATRIA GUEST HOUSE,0,5
POKKA LEMON TEA,GRIYA PATRIA GUEST HOUSE,4,1
INACO IM COCO LECI,GRIYA PATRIA GUEST HOUSE,0,5
MIE SEDAAP SELECTION KOREAN SPICY,GRIYA PATRIA GUEST HOUSE,3,1
MONDE EGG ROLL CHOCOLATE,GRIYA PATRIA GUEST HOUSE,4,8
PANDA CINCAU JELLY,GRIYA PATRIA GUEST HOUSE,7,3
KUSUKA AYAM MADU,GRIYA PATRIA GUEST HOUSE,5,0
WALLENS CHOCOSHOES,GRIYA PATRIA GUEST HOUSE,4,1
CIMORY ALMOND,GRIYA PATRIA GUEST HOUSE,6,1
EGG ROLL CHEESE,GRIYA PATRIA GUEST HOUSE,3,9
MILO ORIGINAL 220ML,GRIYA PATRIA GUEST HOUSE,5,2
WALENS BLUEBERRY SOES,GRIYA PATRIA GUEST HOUSE,2,3
french fries 2000,GRIYA PATRIA GUEST HOUSE,13,2
NESCAFE ICE BLACK,GRIYA PATRIA GUEST HOUSE,5,2
Spix mi goreng,GRIYA PATRIA GUEST HOUSE,4,0
TWISTKO,GRIYA PATRIA GUEST HOUSE,0,5
LASEGAR LEMON,GRIYA PATRIA GUEST HOUSE,0,5
